train_no,station_order,station_id,station_name,arrival_time,departure_time,train_type
K1258,1,1027,衢州,NULL,16:34,快速
K1258,2,1028,金华,17:30,17:45,快速
K1258,3,1019,丽水,20:52,20:54,快速
K1258,4,1025,温州,23:17,NULL,快速
K1256,1,1025,温州,NULL,20:00,快速
K1256,2,1019,丽水,21:58,22:00,快速
K1256,3,1029,金华南,00:08,00:20,快速
K1256,4,1028,金华,00:43,00:58,快速
K1256,5,1027,衢州,01:56,NULL,快速
K1047,1,1042,阜阳,NULL,19:18,快速
K1047,2,1038,蚌埠,22:34,22:40,快速
K1047,3,1004,南京,01:03,01:11,快速
K1047,4,1009,常州,02:31,02:35,快速
K1047,5,1015,苏州,03:37,03:42,快速
K1047,6,1001,上海,05:04,NULL,快速
K1558,1,1040,铜陵,NULL,21:35,快速
K1558,2,1037,芜湖,23:09,23:15,快速
K1558,3,1004,南京,01:08,01:30,快速
K1558,4,1009,常州,02:58,03:02,快速
K1558,5,1015,苏州,04:02,04:06,快速
K1558,6,1001,上海,05:23,NULL,快速
Z378,1,1011,徐州,NULL,21:51,直达特快
Z378,2,1038,蚌埠,23:34,23:39,直达特快
Z378,3,1004,南京,01:37,01:45,直达特快
Z378,4,1009,常州,03:06,03:10,直达特快
Z378,5,1015,苏州,04:09,04:14,直达特快
Z378,6,1001,上海,05:29,NULL,直达特快
K292,1,1011,徐州,NULL,21:57,快速
K292,2,1038,蚌埠,23:40,23:45,快速
K292,3,1004,南京,01:43,01:51,快速
K292,4,1009,常州,03:12,03:17,快速
K292,5,1015,苏州,04:25,04:30,快速
K292,6,1001,上海,05:35,NULL,快速
G7072,1,1001,上海,NULL,05:48,高速动车
G7072,2,1015,苏州,06:15,06:17,高速动车
G7072,3,1009,常州,06:49,06:51,高速动车
G7072,4,1005,南京南,07:50,07:54,高速动车
G7072,5,1037,芜湖,08:37,08:39,高速动车
G7072,6,1040,铜陵,09:17,09:19,高速动车
G7072,7,1032,安庆,10:00,NULL,高速动车
G7032,1,1001,上海,NULL,05:53,高速动车
G7032,2,1015,苏州,06:25,06:27,高速动车
G7032,3,1009,常州,06:59,07:01,高速动车
G7032,4,1004,南京,07:53,NULL,高速动车
K359,1,1011,徐州,NULL,22:13,快速
K359,2,1004,南京,02:04,02:12,快速
K359,3,1009,常州,03:39,03:43,快速
K359,4,1015,苏州,04:42,04:46,快速
K359,5,1001,上海,05:56,NULL,快速
K8484,1,1042,阜阳,NULL,20:30,快速
K8484,2,1038,蚌埠,00:04,00:10,快速
K8484,3,1004,南京,02:10,02:18,快速
K8484,4,1009,常州,03:45,03:49,快速
K8484,5,1015,苏州,04:48,04:52,快速
K8484,6,1001,上海,06:03,NULL,快速
D308,1,1011,徐州,NULL,00:38,动车组
D308,2,1004,南京,03:28,03:34,动车组
D308,3,1009,常州,04:35,04:37,动车组
D308,4,1015,苏州,05:22,05:24,动车组
D308,5,1001,上海,06:20,NULL,动车组
G7076,1,1001,上海,NULL,06:20,高速动车
G7076,2,1015,苏州,06:52,06:54,高速动车
G7076,3,1009,常州,07:31,07:33,高速动车
G7076,4,1005,南京南,08:34,08:36,高速动车
G7076,5,1037,芜湖,09:13,09:15,高速动车
G7076,6,1040,铜陵,09:47,09:49,高速动车
G7076,7,1032,安庆,10:30,NULL,高速动车
D312,1,1011,徐州,NULL,00:46,动车组
D312,2,1004,南京,03:34,03:40,动车组
D312,3,1009,常州,04:41,04:43,动车组
D312,4,1015,苏州,05:28,05:30,动车组
D312,5,1001,上海,06:26,NULL,动车组
K8431,1,1038,蚌埠,NULL,23:52,快速
K8431,2,1004,南京,01:50,01:58,快速
K8431,3,1015,苏州,04:54,04:58,快速
K8431,4,1001,上海,06:33,NULL,快速
G8266,1,1001,上海,NULL,06:38,高速动车
G8266,2,1015,苏州,07:33,07:35,高速动车
G8266,3,1009,常州,08:06,08:08,高速动车
G8266,4,1017,连云港,10:45,NULL,高速动车
K154,1,1004,南京,NULL,02:50,快速
K154,2,1009,常州,04:13,04:17,快速
K154,3,1015,苏州,05:15,05:18,快速
K154,4,1001,上海,06:40,NULL,快速
G7002,1,1001,上海,NULL,06:48,高速动车
G7002,2,1015,苏州,07:20,07:22,高速动车
G7002,3,1009,常州,07:54,07:56,高速动车
G7002,4,1004,南京,08:41,NULL,高速动车
1461,1,1011,徐州,NULL,22:57,普快
1461,2,1038,蚌埠,00:47,00:51,普快
1461,3,1004,南京,02:56,03:03,普快
1461,4,1009,常州,04:23,04:26,普快
1461,5,1015,苏州,05:50,05:54,普快
1461,6,1001,上海,07:00,NULL,普快
G6,1,1001,上海,NULL,07:00,高速动车
G6,2,1016,苏州北,07:25,07:27,高速动车
G6,3,1005,南京南,08:11,NULL,高速动车
G222,1,1001,上海,NULL,07:05,高速动车
G222,2,1016,苏州北,07:33,07:35,高速动车
G222,3,1005,南京南,08:23,08:25,高速动车
G222,4,1012,徐州东,09:41,NULL,高速动车
K284,1,1011,徐州,NULL,23:40,快速
K284,2,1038,蚌埠,01:23,01:27,快速
K284,3,1004,南京,03:44,03:53,快速
K284,4,1001,上海,07:07,NULL,快速
G7034,1,1001,上海,NULL,07:10,高速动车
G7034,2,1015,苏州,07:43,07:45,高速动车
G7034,3,1009,常州,08:25,08:27,高速动车
G7034,4,1004,南京,09:19,NULL,高速动车
G7213,1,1015,苏州,NULL,06:40,高速动车
G7213,2,1001,上海,07:19,NULL,高速动车
G7203,1,1015,苏州,NULL,06:53,高速动车
G7203,2,1001,上海,07:25,NULL,高速动车
G7029,1,1004,南京,NULL,05:36,高速动车
G7029,2,1009,常州,06:28,06:30,高速动车
G7029,3,1015,苏州,07:01,07:03,高速动车
G7029,4,1001,上海,07:30,NULL,高速动车
G7080,1,1001,上海,NULL,07:31,高速动车
G7080,2,1015,苏州,08:09,08:11,高速动车
G7080,3,1009,常州,08:42,08:44,高速动车
G7080,4,1005,南京南,09:42,09:45,高速动车
G7080,5,1037,芜湖,10:28,10:30,高速动车
G7080,6,1040,铜陵,11:08,11:10,高速动车
G7080,7,1032,安庆,11:51,NULL,高速动车
G7358,1,1022,杭州,NULL,06:10,高速动车
G7358,2,1020,嘉兴南,06:39,06:41,高速动车
G7358,3,1003,上海虹桥,07:08,07:10,高速动车
G7358,4,1001,上海,07:37,NULL,高速动车
G7211,1,1009,常州,NULL,06:35,高速动车
G7211,2,1015,苏州,07:06,07:08,高速动车
G7211,3,1001,上海,07:42,NULL,高速动车
G8268,1,1001,上海,NULL,07:42,高速动车
G8268,2,1015,苏州,08:14,08:16,高速动车
G8268,3,1009,常州,08:47,NULL,高速动车
D709,1,1004,南京,NULL,05:16,动车组
D709,2,1009,常州,06:18,06:20,动车组
D709,3,1001,上海,07:44,NULL,动车组
C3804,1,1006,南通,NULL,06:15,城际动车
C3804,2,1001,上海,07:49,NULL,城际动车
G7031,1,1004,南京,NULL,06:00,高速动车
G7031,2,1001,上海,07:54,NULL,高速动车
C3852,1,1001,上海,NULL,07:55,城际动车
C3852,2,1007,南通西,09:24,09:26,城际动车
C3852,3,1004,南京,11:51,NULL,城际动车
G7004,1,1001,上海,NULL,08:00,高速动车
G7004,2,1015,苏州,08:25,08:27,高速动车
G7004,3,1009,常州,08:59,09:01,高速动车
G7004,4,1004,南京,09:40,NULL,高速动车
G7268,1,1001,上海,NULL,08:05,高速动车
G7268,2,1015,苏州,08:37,08:39,高速动车
G7268,3,1009,常州,09:10,09:12,高速动车
G7268,4,1005,南京南,10:05,10:08,高速动车
G7268,5,1030,合肥,10:59,11:05,高速动车
G7268,6,1036,淮南南,11:44,NULL,高速动车
G7317,1,1001,上海,NULL,08:05,高速动车
G7317,2,1003,上海虹桥,08:34,08:36,高速动车
G7317,3,1020,嘉兴南,09:04,09:11,高速动车
G7317,4,1023,杭州东,09:36,09:41,高速动车
G7317,5,1045,黄山北,11:30,NULL,高速动车
K8361,1,1042,阜阳,NULL,18:30,快速
K8361,2,1030,合肥,22:15,22:35,快速
K8361,3,1037,芜湖,00:13,00:38,快速
K8361,4,1004,南京,02:52,03:10,快速
K8361,5,1009,常州,04:50,04:59,快速
K8361,6,1015,苏州,06:03,06:13,快速
K8361,7,1001,上海,08:05,NULL,快速
G7209,1,1015,苏州,NULL,07:26,高速动车
G7209,2,1001,上海,08:07,NULL,高速动车
G7036,1,1001,上海,NULL,08:10,高速动车
G7036,2,1015,苏州,08:42,08:44,高速动车
G7036,3,1004,南京,10:14,NULL,高速动车
Z94,1,1015,苏州,NULL,07:18,直达特快
Z94,2,1001,上海,08:11,NULL,直达特快
G7232,1,1001,上海,NULL,08:15,高速动车
G7232,2,1009,常州,09:31,09:33,高速动车
