train_no,train_type
K1258,快速
K1256,快速
K1047,快速
K1558,快速
Z378,直达特快
K292,快速
G7072,高速动车
G7032,高速动车
K359,快速
K8484,快速
D308,动车组
G7076,高速动车
D312,动车组
K8431,快速
G8266,高速动车
K154,快速
G7002,高速动车
1461,普快
G6,高速动车
G222,高速动车
K284,快速
G7034,高速动车
G7213,高速动车
G7203,高速动车
G7029,高速动车
G7080,高速动车
G7358,高速动车
G7211,高速动车
G8268,高速动车
D709,动车组
C3804,城际动车
G7031,高速动车
C3852,城际动车
G7004,高速动车
G7268,高速动车
G7317,高速动车
K8361,快速
G7209,高速动车
G7036,高速动车
Z94,直达特快
G7232,高速动车
G7033,高速动车
C3808,城际动车
G8276,高速动车
K8358,快速
D952,动车组
G7035,高速动车
G7084,高速动车
G7001,高速动车
K290,快速
C3856,城际动车
Z376,直达特快
G7037,高速动车
K1101,快速
G7006,高速动车
K516,快速
K233,快速
G7038,高速动车
G8262,高速动车
G7039,高速动车
G8272,高速动车
D705,动车组
K360,快速
G7274,高速动车
G7043,高速动车
G7319,高速动车
G7003,高速动车
G7040,高速动车
C3854,城际动车
C3860,城际动车
G7008,高速动车
Z198,直达特快
G7042,高速动车
G7262,高速动车
K1556,快速
G7228,高速动车
K462,快速
C3864,城际动车
G7236,高速动车
Z100,直达特快
G7005,高速动车
G7060,高速动车
C3816,城际动车
D9508,动车组
G7289,高速动车
G7240,高速动车
G7258,高速动车
G7010,高速动车
T109,特快
G7294,高速动车
K2186,快速
K234,快速
G130,高速动车
K1156,快速
G7264,高速动车
D9482,动车组
G8263,高速动车
K174,快速
G7282,高速动车
G7045,高速动车
C3891,城际动车
G5,高速动车
K784,快速
G7007,高速动车
K464,快速
Z166,直达特快
G7244,高速动车
Z42,直达特快
G12,高速动车
G7012,高速动车
Z267,直达特快
G7047,高速动车
G7046,高速动车
1462,普快
G7221,高速动车
G415,高速动车
G7299,高速动车
G7048,高速动车
D9486,动车组
G7074,高速动车
K736,快速
G7009,高速动车
G7296,高速动车
T131,特快
G416,高速动车
Z254,直达特快
G7088,高速动车
Z174,直达特快
G7014,高速动车
C3858,城际动车
G7248,高速动车
G7078,高速动车
K172,快速
K782,快速
T118,特快
C3868,城际动车
G7011,高速动车
G7092,高速动车
K1102,快速
G8273,高速动车
K559,快速
G7016,高速动车
K738,快速
G7051,高速动车
T132,特快
G7276,高速动车
G8267,高速动车
G7050,高速动车
G7013,高速动车
K1158,快速
G7100,高速动车
K374,快速
K560,快速
Z218,直达特快
Z268,直达特快
G441,高速动车
G7018,高速动车
G7229,高速动车
G7800,高速动车
G8270,高速动车
G7053,高速动车
G7082,高速动车
G442,高速动车
D5591,动车组
G7218,高速动车
T116,特快
G7052,高速动车
G7015,高速动车
G7252,高速动车
C3802,城际动车
G8275,高速动车
Z252,直达特快
K190,快速
G7020,高速动车
K372,快速
G7234,高速动车
C3806,城际动车
Z306,直达特快
G8277,高速动车
K1331,快速
Z40,直达特快
G8274,高速动车
C3895,城际动车
G7057,高速动车
G8291,高速动车
K152,快速
G7799,高速动车
G7017,高速动车
G8278,高速动车
G7222,高速动车
G7059,高速动车
G7022,高速动车
C3810,城际动车
C3862,城际动车
G8292,高速动车
G7318,高速动车
G7266,高速动车
G8264,高速动车
G7056,高速动车
G7067,高速动车
G7256,高速动车
K518,快速
C3872,城际动车
G7019,高速动车
G7292,高速动车
Z99,直达特快
G7041,高速动车
G7359,高速动车
G18,高速动车
T110,特快
G7024,高速动车
K2188,快速
G7284,高速动车
Z92,直达特快
G129,高速动车
K188,快速
G7058,高速动车
K1332,快速
G7063,高速动车
Z196,直达特快
1230,普快
G7290,高速动车
G7246,高速动车
Z216,直达特快
G7021,高速动车
G7272,高速动车
C3866,城际动车
G7096,高速动车
Z172,直达特快
G7026,高速动车
G8271,高速动车
G7267,高速动车
G7260,高速动车
C3894,城际动车
G7242,高速动车
D9481,动车组
G7298,高速动车
G7062,高速动车
G7086,高速动车
G7226,高速动车
G7023,高速动车
G7288,高速动车
G7300,高速动车
K8356,快速
G7238,高速动车
G7028,高速动车
G7250,高速动车
Z164,直达特快
G7065,高速动车
K282,快速
G7066,高速动车
1228,普快
D954,动车组
G7064,高速动车
G7286,高速动车
G7025,高速动车
G7070,高速动车
G8261,高速动车
C3818,城际动车
D9507,动车组
G7099,高速动车
G7030,高速动车
G7098,高速动车
Z304,直达特快
G7090,高速动车
G7095,高速动车
G7214,高速动车
D710,动车组
D9488,动车组
G7254,高速动车
G7360,高速动车
G7027,高速动车
G7068,高速动车
C3870,城际动车
G7275,高速动车
G7220,高速动车
K8482,快速
K1048,快速
G7210,高速动车
K1505,快速
G7212,高速动车
G7069,高速动车
K8365,快速
G15,高速动车
D310,动车组
G7094,高速动车
D306,动车组
K8427,快速
G8269,高速动车
G236,高速动车
K8432,快速
G8265,高速动车
K8362,快速
K8366,快速
K1506,快速
K8428,快速
K1372,快速
K1805,快速
K528,快速
K1511,快速
K335,快速
K752,快速
K80,快速
K8354,快速
T135,特快
K288,快速
D3072,动车组
K50,快速
Z245,直达特快
D5401,动车组
K1187,快速
K833,快速
K1091,快速
K751,快速
K1128,快速
T212,特快
D771,动车组
K512,快速
D3022,动车组
T170,特快
K1185,快速
D3060,动车组
D5402,动车组
Z258,直达特快
D5403,动车组
D3068,动车组
K470,快速
D5483,动车组
T78,特快
Z284,直达特快
D5404,动车组
T169,特快
D5405,动车组
T102,特快
K124,快速
T77,特快
T382,特快
K576,快速
T211,特快
K1371,快速
K759,快速
K760,快速
D5407,动车组
K73,快速
K352,快速
K1108,快速
K112,快速
D5484,动车组
T101,特快
K808,快速
T82,特快
D5409,动车组
K123,快速
K254,快速
D5406,动车组
K1107,快速
K575,快速
K1806,快速
K71,快速
D5495,动车组
D5408,动车组
K111,快速
T26,特快
K1374,快速
K253,快速
D5496,动车组
K351,快速
D5411,动车组
D5485,动车组
D5410,动车组
T81,特快
K1512,快速
D5413,动车组
K48,快速
K1373,快速
T381,特快
K496,快速
D5412,动车组
K469,快速
K1127,快速
D5415,动车组
T25,特快
K79,快速
K807,快速
K495,快速
Z257,直达特快
K527,快速
D3074,动车组
K511,快速
Z282,直达特快
D5414,动车组
D5417,动车组
D5416,动车组
K287,快速
K8352,快速
D5486,动车组
Z247,直达特快
K336,快速
D3070,动车组
K1092,快速
D5418,动车组
T136,特快
D772,动车组
K834,快速
G7541,高速动车
D2206,动车组
G1786,高速动车
G456,高速动车
G1321,高速动车
G1970,高速动车
D352,动车组
G1802,高速动车
G7331,高速动车
G7333,高速动车
G9232,高速动车
D636,动车组
G3176,高速动车
G104,高速动车
D916,动车组
D3145,动车组
G3180,高速动车
G1383,高速动车
G3230,高速动车
G1772,高速动车
G7501,高速动车
G1651,高速动车
D937,动车组
C3792,城际动车
D2287,动车组
D942,动车组
G7543,高速动车
G2365,高速动车
G106,高速动车
G1974,高速动车
G1371,高速动车
G7102,高速动车
D701,动车组
G7395,高速动车
G110,高速动车
G2189,高速动车
G1232,高速动车
D3131,动车组
G8312,高速动车
D2212,动车组
D781,动车组
D377,动车组
G598,高速动车
C3752,城际动车
G120,高速动车
G1631,高速动车
G8,高速动车
G85,高速动车
G7556,高速动车
G7503,高速动车
G112,高速动车
G1952,高速动车
G7549,高速动车
G7558,高速动车
G114,高速动车
G1653,高速动车
D3201,动车组
G7101,高速动车
G7552,高速动车
D3090,动车组
G1337,高速动车
G576,高速动车
G7325,高速动车
G676,高速动车
G360,高速动车
G1509,高速动车
G212,高速动车
G7534,高速动车
G1866,高速动车
G7104,高速动车
D2281,动车组
G7129,高速动车
G230,高速动车
G1373,高速动车
C3704,城际动车
G2,高速动车
G7505,高速动车
G7554,高速动车
D2285,动车组
G7492,高速动车
G1236,高速动车
G8316,高速动车
G7349,高速动车
G1806,高速动车
G7313,高速动车
G54,高速动车
D3064,动车组
G1655,高速动车
G1920,高速动车
G7103,高速动车
G7372,高速动车
G1377,高速动车
G7502,高速动车
G116,高速动车
D3205,动车组
G7580,高速动车
G7530,高速动车
G1204,高速动车
D3107,动车组
G7132,高速动车
G7357,高速动车
G3164,高速动车
G7389,高速动车
G1347,高速动车
G126,高速动车
G7382,高速动车
G7344,高速动车
G7434,高速动车
G10,高速动车
G1501,高速动车
G7180,高速动车
G7194,高速动车
G7507,高速动车
G1214,高速动车
G7330,高速动车
G1304,高速动车
G7504,高速动车
G1657,高速动车
D3125,动车组
G7136,高速动车
G7728,高速动车
G7589,高速动车
G1258,高速动车
G7364,高速动车
G122,高速动车
G7532,高速动车
D3135,动车组
G7185,高速动车
C3798,城际动车
G2193,高速动车
C3795,城际动车
G7311,高速动车
G7386,高速动车
G124,高速动车
G7509,高速动车
G7150,高速动车
G7393,高速动车
D5458,动车组
G7461,高速动车
G7766,高速动车
G7107,高速动车
G7572,高速动车
G7787,高速动车
G1252,高速动车
G7599,高速动车
C3706,城际动车
G1375,高速动车
G8329,高速动车
G2661,高速动车
G1690,高速动车
G7316,高速动车
D2283,动车组
G1228,高速动车
G7126,高速动车
G3152,高速动车
G7537,高速动车
G1382,高速动车
G1924,高速动车
G7351,高速动车
G7506,高速动车
G1333,高速动车
G7170,高速动车
G1724,高速动车
G300,高速动车
G7108,高速动车
D3324,动车组
G7586,高速动车
G2664,高速动车
G7332,高速动车
G7794,高速动车
G1722,高速动车
G1673,高速动车
G1956,高速动车
G8314,高速动车
G7109,高速动车
G7369,高速动车
G7594,高速动车
G370,高速动车
G7511,高速动车
G1763,高速动车
G1342,高速动车
D3291,动车组
G7576,高速动车
G132,高速动车
G1384,高速动车
G1387,高速动车
G460,高速动车
G7304,高速动车
D5464,动车组
G7161,高速动车
G7446,高速动车
G1633,高速动车
G7508,高速动车
G412,高速动车
G7335,高速动车
G7111,高速动车
G7181,高速动车
G1810,高速动车
G1632,高速动车
G8311,高速动车
G7306,高速动车
G101,高速动车
G1369,高速动车
G7162,高速动车
G7324,高速动车
G7378,高速动车
G7110,高速动车
G7193,高速动车
G7113,高速动车
G1928,高速动车
G8318,高速动车
G1659,高速动车
G134,高速动车
G1801,高速动车
G1386,高速动车
G1716,高速动车
G7598,高速动车
G105,高速动车
G7164,高速动车
G7540,高速动车
G1389,高速动车
G7182,高速动车
G143,高速动车
G7112,高速动车
G7323,高速动车
G1738,高速动车
D3016,动车组
G1346,高速动车
D3141,动车组
G1715,高速动车
G7178,高速动车
G3252,高速动车
G7510,高速动车
G1,高速动车
G9231,高速动车
G138,高速动车
G7301,高速动车
G7148,高速动车
G140,高速动车
G7559,高速动车
G1634,高速动车
C3791,城际动车
G1329,高速动车
G1348,高速动车
G1914,高速动车
G7176,高速动车
G1932,高速动车
D382,动车组
G107,高速动车
G1355,高速动车
G1808,高速动车
G1720,高速动车
D3012,动车组
D3006,动车组
G7539,高速动车
G224,高速动车
G4,高速动车
