train_no,station_order,station_id,arrival_time,departure_time
K1258,1,1027,NULL,16:34
K1258,2,1028,17:30,17:45
K1258,3,1019,20:52,20:54
K1258,4,1025,23:17,NULL
K1256,1,1025,NULL,20:00
K1256,2,1019,21:58,22:00
K1256,3,1029,00:08,00:20
K1256,4,1028,00:43,00:58
K1256,5,1027,01:56,NULL
K1047,1,1042,NULL,19:18
K1047,2,1038,22:34,22:40
K1047,3,1004,01:03,01:11
K1047,4,1009,02:31,02:35
K1047,5,1015,03:37,03:42
K1047,6,1001,05:04,NULL
K1558,1,1040,NULL,21:35
K1558,2,1037,23:09,23:15
K1558,3,1004,01:08,01:30
K1558,4,1009,02:58,03:02
K1558,5,1015,04:02,04:06
K1558,6,1001,05:23,NULL
Z378,1,1011,NULL,21:51
Z378,2,1038,23:34,23:39
Z378,3,1004,01:37,01:45
Z378,4,1009,03:06,03:10
Z378,5,1015,04:09,04:14
Z378,6,1001,05:29,NULL
K292,1,1011,NULL,21:57
K292,2,1038,23:40,23:45
K292,3,1004,01:43,01:51
K292,4,1009,03:12,03:17
K292,5,1015,04:25,04:30
K292,6,1001,05:35,NULL
G7072,1,1001,NULL,05:48
G7072,2,1015,06:15,06:17
G7072,3,1009,06:49,06:51
G7072,4,1005,07:50,07:54
G7072,5,1037,08:37,08:39
G7072,6,1040,09:17,09:19
G7072,7,1032,10:00,NULL
G7032,1,1001,NULL,05:53
G7032,2,1015,06:25,06:27
G7032,3,1009,06:59,07:01
G7032,4,1004,07:53,NULL
K359,1,1011,NULL,22:13
K359,2,1004,02:04,02:12
K359,3,1009,03:39,03:43
K359,4,1015,04:42,04:46
K359,5,1001,05:56,NULL
K8484,1,1042,NULL,20:30
K8484,2,1038,00:04,00:10
K8484,3,1004,02:10,02:18
K8484,4,1009,03:45,03:49
K8484,5,1015,04:48,04:52
K8484,6,1001,06:03,NULL
D308,1,1011,NULL,00:38
D308,2,1004,03:28,03:34
D308,3,1009,04:35,04:37
